German,English,Hindi
(ab)fahren,To be translated,अनुवाद किया जाना है
(ab)fliegen,To be translated,अनुवाद किया जाना है
(an-)/(aus)ziehen,To be translated,अनुवाद किया जाना है
(an/aus)gezogen,To be translated,अनुवाद किया जाना है
(aus)tauschen,To be translated,अनुवाद किया जाना है
(fahren,To be translated,अनुवाद किया जाना है
(haben/machen),To be translated,अनुवाद किया जाना है
(hat wollen als Modalverb),To be translated,अनुवाद किया जाना है
(jahr,To be translated,अनुवाद किया जाना है
(sich),To be translated,अनुवाद किया जाना है
(sich) (über),To be translated,अनुवाद किया जाना है
(z. B. Feierabend,To be translated,अनुवाद किया जाना है
(z. B. Infotafel),To be translated,अनुवाद किया जाना है
(z. B. weiter-,To be translated,अनुवाद किया जाना है
-fahren/-gehen/,To be translated,अनुवाद किया जाना है
-laufen/-machen/,To be translated,अनुवाद किया जाना है
-nehmen/-spielen),To be translated,अनुवाद किया जाना है
-nehmen/-werfen),To be translated,अनुवाद किया जाना है
abgeben,To be translated,अनुवाद किया जाना है
abheben,to withdraw money,पैसे निकालना
abholen,To be translated,अनुवाद किया जाना है
abnehmen,to lose weight,वज़न कम करना
abschließen,To be translated,अनुवाद किया जाना है
Achtung (Sg.),To be translated,अनुवाद किया जाना है
aktiv,To be translated,अनुवाद किया जाना है
aktuell,To be translated,अनुवाद किया जाना है
all-,To be translated,अनुवाद किया जाना है
allein,To be translated,अनुवाद किया जाना है
alles Gute zum Geburtstag,happy birthday,जन्मदिन मुबारक
als,To be translated,अनुवाद किया जाना है
am besten,To be translated,अनुवाद किया जाना है
am liebsten,To be translated,अनुवाद किया जाना है
an sein / aus sein,To be translated,अनुवाद किया जाना है
anbieten,To be translated,अनुवाद किया जाना है
ander-,To be translated,अनुवाद किया जाना है
anfangen,To be translated,अनुवाद किया जाना है
angeln,to fish,मछली पकड़ना
anmachen,To be translated,अनुवाद किया जाना है
anmelden (sich),To be translated,अनुवाद किया जाना है
ansehen,To be translated,अनुवाद किया जाना है
arbeiten,To be translated,अनुवाद किया जाना है
arbeitslos,To be translated,अनुवाद किया जाना है
auf jeden/,To be translated,अनुवाद किया जाना है
auf sein,To be translated,अनुवाद किया जाना है
aufmachen,To be translated,अनुवाद किया जाना है
aufpassen,To be translated,अनुवाद किया जाना है
aufregend,To be translated,अनुवाद किया जाना है
aufstehen,to get up,उठना
ausblasen,to blow out,बुझाना (मोमबत्ती)
auschecken,to check out,चेक आउट करना
ausgeben,to spend,खर्च करना
ausgehen,To be translated,अनुवाद किया जाना है
ausleihen,to borrow,उधार लेना
ausmachen,To be translated,अनुवाद किया जाना है
auspacken,to unwrap,खोलना (उपहार)
ausruhen (sich),To be translated,अनुवाद किया जाना है
aussehen,to look (appearance),दिखना
aussprechen,To be translated,अनुवाद किया जाना है
aussteigen,To be translated,अनुवाद किया जाना है
austragen,To be translated,अनुवाद किया जाना है
automatisch,To be translated,अनुवाद किया जाना है
außer,To be translated,अनुवाद किया जाना है
außerdem,To be translated,अनुवाद किया जाना है
außerhalb,To be translated,अनुवाद किया जाना है
baden,To be translated,अनुवाद किया जाना है
basteln,to do crafts,हस्तशिल्प
bauen,To be translated,अनुवाद किया जाना है
beantworten,To be translated,अनुवाद किया जाना है
beantworter,To be translated,अनुवाद किया जाना है
beantwortet,To be translated,अनुवाद किया जाना है
bedanken (sich),To be translated,अनुवाद किया जाना है
bedankt,To be translated,अनुवाद किया जाना है
bedeuten,To be translated,अनुवाद किया जाना है
beeilen (sich),to hurry,जल्दी करना
beeilt,To be translated,अनुवाद किया जाना है
begründen,To be translated,अनुवाद किया जाना है
bei,To be translated,अनुवाद किया जाना है
beide,To be translated,अनुवाद किया जाना है
bekannt,To be translated,अनुवाद किया जाना है
bekommt,To be translated,अनुवाद किया जाना है
beliebt,To be translated,अनुवाद किया जाना है
benutzen,To be translated,अनुवाद किया जाना है
bequem,To be translated,अनुवाद किया जाना है
beraten,To be translated,अनुवाद किया जाना है
