Category,German,English,Hindi
🏃 Verbs,(ab)fahren,to depart (by vehicle),रवाना होना (गाड़ी से)
🏃 Verbs,(ab)fliegen,to take off (plane),उड़ान भरना
🏃 Verbs,(an-)/(aus)ziehen,to put on / take off (clothes),पहनना / उतारना
🏃 Verbs,(an/aus)gezogen,put on / taken off,पहना/उतारा
🏃 Verbs,(aus)tauschen,to exchange,अदला-बदली करना
🏃 Verbs,(fahren,to drive,गाड़ी चलाना
🏃 Verbs,(haben/machen),to have/do,रखना/करना
👕 Clothing,(hat wollen als Modalverb),wanted (modal),चाहता था
👋 Greetings & Basics,(jahr,year,साल
👤 Pronouns,(sich),oneself,खुद
👤 Pronouns,(sich) (über),about oneself,खुद के बारे में
🍎 Food,(z. B. Feierabend,e.g. end of work,जैसे काम खत्म
📚 School & Learning,(z. B. Infotafel),e.g. info board,जैसे सूचना बोर्ड
🍎 Food,(z. B. weiter-,e.g. further,जैसे आगे
🏃 Verbs,-fahren/-gehen/,drive/go,चलाना/जाना
🏃 Verbs,-laufen/-machen/,run/do,दौड़ना/करना
🏃 Verbs,-nehmen/-spielen),take/play,लेना/खेलना
❓ Question Words,-nehmen/-werfen),take/throw,लेना/फेंकना
🏃 Verbs,abgeben,to hand in,जमा करना
🛒 Shopping & Money,abheben,to withdraw money,पैसे निकालना
🏃 Verbs,abholen,to pick up,लेने आना
🏃 Verbs,abnehmen,to lose weight,वज़न कम करना
🏃 Verbs,abschließen,to complete; to lock,पूरा करना; ताला लगाना
📋 Grammar & Reference,Achtung (Sg.),attention,ध्यान
✨ Adjectives,aktiv,active,सक्रिय
🏃 Verbs,aktuell,current,वर्तमान
🏃 Verbs,all-,all (prefix),सभी
🍎 Food,allein,alone,अकेला
⏰ Time,alles Gute zum Geburtstag,happy birthday,जन्मदिन मुबारक
🔗 Adverbs & Connectors,als,as; when,जैसा; जब
👤 Pronouns,am besten,best,सबसे अच्छा
🏃 Verbs,am liebsten,most preferably,सबसे पसंद
🍎 Food,an sein / aus sein,to be on / off,चालू/बंद होना
🏃 Verbs,anbieten,to offer,पेशकश करना
👤 Pronouns,ander-,other (prefix),दूसरा
🏃 Verbs,anfangen,to begin,शुरू करना
🏃 Verbs,angeln,to fish,मछली पकड़ना
🏃 Verbs,anmachen,to turn on,चालू करना
👤 Pronouns,anmelden (sich),to register,पंजीकरण करना
🏃 Verbs,ansehen,to look at,देखना
🍎 Food,arbeiten,to work,काम करना
🍎 Food,arbeitslos,unemployed,बेरोजगार
🏃 Verbs,auf jeden/,in any case,किसी भी हाल में
🍎 Food,auf sein,to be on,चालू होना
🏃 Verbs,aufmachen,to open,खोलना
🎒 Personal Items,aufpassen,to pay attention,ध्यान देना
🌳 Nature & Weather,aufregend,exciting,रोमांचक
🏃 Verbs,aufstehen,to get up,उठना
🏃 Verbs,ausblasen,to blow out,बुझाना (मोमबत्ती)
🏃 Verbs,auschecken,to check out,चेक आउट करना
🏃 Verbs,ausgeben,to spend,खर्च करना
🏃 Verbs,ausgehen,to go out,बाहर जाना
🍎 Food,ausleihen,to borrow,उधार लेना
