German,English,Hindi
(ab)fahren,To be translated,अनुवाद किया जाना है
(ab)fliegen,To be translated,अनुवाद किया जाना है
(an-)/(aus)ziehen,To be translated,अनुवाद किया जाना है
(an/aus)gezogen,To be translated,अनुवाद किया जाना है
(aus)tauschen,To be translated,अनुवाद किया जाना है
(fahren,To be translated,अनुवाद किया जाना है
(haben/machen),To be translated,अनुवाद किया जाना है
(hat wollen als Modalverb),To be translated,अनुवाद किया जाना है
(jahr,To be translated,अनुवाद किया जाना है
(sich),To be translated,अनुवाद किया जाना है
(sich) (über),To be translated,अनुवाद किया जाना है
(z. B. Feierabend,To be translated,अनुवाद किया जाना है
(z. B. Infotafel),To be translated,अनुवाद किया जाना है
(z. B. weiter-,To be translated,अनुवाद किया जाना है
-fahren/-gehen/,To be translated,अनुवाद किया जाना है
-laufen/-machen/,To be translated,अनुवाद किया जाना है
-nehmen/-spielen),To be translated,अनुवाद किया जाना है
-nehmen/-werfen),To be translated,अनुवाद किया जाना है
ab,from (time onwards),से (समय)
aber,but,लेकिन
abfahren,to depart,रवाना होना
abgeben,To be translated,अनुवाद किया जाना है
abheben,to withdraw money,पैसे निकालना
abholen,To be translated,अनुवाद किया जाना है
abnehmen,to lose weight,वज़न कम करना
abschließen,To be translated,अनुवाद किया जाना है
abwaschen,to wash dishes,बर्तन धोना
Achtung (Sg.),To be translated,अनुवाद किया जाना है
Achtung!,Watch out!,ध्यान दो!
aktiv,To be translated,अनुवाद किया जाना है
aktuell,To be translated,अनुवाद किया जाना है
all-,To be translated,अनुवाद किया जाना है
allein,To be translated,अनुवाद किया जाना है
Alles Gute,All the best,शुभकामनाएं
alles Gute zum Geburtstag,happy birthday,जन्मदिन मुबारक
Alles klar,Got it,समझ गया
als,To be translated,अनुवाद किया जाना है
also,so / well,तो
alt,old,बूढ़ा / पुराना
am besten,To be translated,अनुवाद किया जाना है
am liebsten,To be translated,अनुवाद किया जाना है
an,at / on (vertical),पर
an sein / aus sein,To be translated,अनुवाद किया जाना है
anbieten,To be translated,अनुवाद किया जाना है
ander-,To be translated,अनुवाद किया जाना है
andere,other / another,दूसरा
anders,different,अलग
anfangen,To be translated,अनुवाद किया जाना है
angeln,to fish,मछली पकड़ना
ankommen,to arrive,पहुँचना
ankreuzen,to tick / check,टिक करना
anmachen,To be translated,अनुवाद किया जाना है
anmelden (sich),To be translated,अनुवाद किया जाना है
anprobieren,to try on,पहनकर देखना
anrufen,to call (phone),फोन करना
ansehen,To be translated,अनुवाद किया जाना है
antworten,to answer,जवाब देना
anziehen,to put on (clothes),पहनना
April,April,अप्रैल
arbeiten,To be translated,अनुवाद किया जाना है
arbeitslos,To be translated,अनुवाद किया जाना है
auch,also / too,भी
auf,on (horizontal),के ऊपर
auf jeden/,To be translated,अनुवाद किया जाना है
auf sein,To be translated,अनुवाद किया जाना है
Auf welcher Seite?,On which page?,कौन से पेज पर?
Auf Wiedersehen,Goodbye,अलविदा
aufgeregt,excited 🤩,उत्साहित
aufhören,to stop,बंद करना
aufmachen,To be translated,अनुवाद किया जाना है
aufpassen,To be translated,अनुवाद किया जाना है
aufregend,To be translated,अनुवाद किया जाना है
aufräumen,to tidy up,व्यवस्थित करना
aufstehen,to get up,उठना
aufwachen,to wake up,जागना
August,August,अगस्त
aus,out of / from (origin),से (बाहर)
ausblasen,to blow out,बुझाना (मोमबत्ती)
auschecken,to check out,चेक आउट करना
ausfüllen,to fill in,भरना
ausgeben,to spend,खर्च करना
ausgehen,To be translated,अनुवाद किया जाना है
ausleihen,to borrow,उधार लेना
ausmachen,To be translated,अनुवाद किया जाना है
auspacken,to unwrap,खोलना (उपहार)
ausruhen (sich),To be translated,अनुवाद किया जाना है
aussehen,to look (appearance),दिखना
aussprechen,To be translated,अनुवाद किया जाना है
aussteigen,To be translated,अनुवाद किया जाना है
austragen,To be translated,अनुवाद किया जाना है
ausziehen,to take off (clothes),उतारना
automatisch,To be translated,अनुवाद किया जाना है
